指数代码,指数简称,区间,指标,原文数值,统一口径复算,差异,判定
CI011800.WI,国泰海通资产配置,发布前回溯期,年化收益,0.0336,0.016764431831694182,-0.016835568168305816,不一致
CI011800.WI,国泰海通资产配置,发布前回溯期,最大回撤,-0.0993,-0.09930632036116815,-6.320361168155042e-06,可复现
CI011800.WI,国泰海通资产配置,发布前回溯期,夏普,0.25,0.07099070363683838,-0.17900929636316162,近似
CI011800.WI,国泰海通资产配置,发布后运行期,年化收益,0.1932,0.1901001439323302,-0.0030998560676697984,近似
CI011800.WI,国泰海通资产配置,发布后运行期,最大回撤,-0.1029,-0.10294797288234836,-4.7972882348354395e-05,可复现
CI011800.WI,国泰海通资产配置,发布后运行期,夏普,1.58,1.5619414548091768,-0.018058545190823283,可复现
CICSF040.WI,中信期货大类资产配置,全历史,年化收益,0.1141,0.11292809079260135,-0.0011719092073986387,近似
CICSF040.WI,中信期货大类资产配置,全历史,最大回撤,-0.0385,-0.038495013918074195,4.986081925804908e-06,可复现
CICSF040.WI,中信期货大类资产配置,全历史,年化波动,0.0469,0.04872471536012055,0.001824715360120556,近似
CICSF040.WI,中信期货大类资产配置,全历史,夏普,2.08,1.9959068453699726,-0.08409315463002742,近似
CI011001.WI,国泰海通全天候,发布前回溯期,年化收益,0.068,0.08411547228423188,0.01611547228423188,不一致
CI011001.WI,国泰海通全天候,发布前回溯期,最大回撤,-0.0462,-0.042609318555821174,0.003590681444178824,近似
CI011001.WI,国泰海通全天候,发布前回溯期,夏普,1.56,1.6171588965630435,0.057158896563043404,近似
CI011001.WI,国泰海通全天候,发布后运行期,年化收益,0.0949,0.09301011761293787,-0.0018898823870621279,近似
CI011001.WI,国泰海通全天候,发布后运行期,最大回撤,-0.0304,-0.03036401584713433,3.598415286567083e-05,可复现
CI011001.WI,国泰海通全天候,发布后运行期,夏普,1.95,1.8589344476326817,-0.09106555236731828,近似
GALLW.WI,银河全天候,发布前回溯期,年化收益,0.1238,0.11627700826838683,-0.007522991731613166,不一致
GALLW.WI,银河全天候,发布前回溯期,最大回撤,-0.0544,-0.0543765939311559,2.340606884409374e-05,可复现
GALLW.WI,银河全天候,发布前回溯期,夏普,3.9,1.5244694174243874,-2.3755305825756126,不一致
GALLW.WI,银河全天候,发布后运行期,年化收益,0.0864,0.06663848352398594,-0.019761516476014068,不一致
GALLW.WI,银河全天候,发布后运行期,最大回撤,-0.0799,-0.07989811945720104,1.8805427989543322e-06,可复现
GALLW.WI,银河全天候,发布后运行期,夏普,1.61,0.5139967110413576,-1.0960032889586424,不一致
